date,newtested,testedtotal,newcountconfirmed,totalcountconfirmed,newpospercent,pospercent_14dayavg,newcountdeaths,totalcountdeaths,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients,all_hospital_beds,icu_covid_confirmed_patients,icu_suspected_covid_patients,icu_available_beds
3/18/2020,"6,291","6,291",675,675,10.7,10.7,15,15,0,0,0,0,0,0,0
3/19/2020,"5,196","11,487",331,"1,006",6.4,8.8,3,18,0,0,0,0,0,0,0
3/20/2020,"1,041","12,528",218,"1,224",20.9,9.8,4,22,0,0,0,0,0,0,0
3/21/2020,939,"13,467",244,"1,468",26,10.9,4,26,0,0,0,0,0,0,0
3/22/2020,850,"14,317",265,"1,733",31.2,12.1,9,35,0,0,0,0,0,0,0
3/23/2020,"1,237","15,554",222,"1,955",17.9,12.6,2,37,0,0,0,0,0,0,0
3/24/2020,"2,722","18,276",580,"2,535",21.3,13.9,15,52,0,0,0,0,0,0,0
3/25/2020,"2,110","20,386",471,"3,006",22.3,14.7,12,64,0,0,0,0,0,0,0
3/26/2020,"3,094","23,480",795,"3,801",25.7,16.2,13,77,0,0,0,0,0,0,0
3/27/2020,"1,712","25,192",842,"4,643",49.2,18.4,24,101,0,0,0,0,0,0,0
3/28/2020,"1,224","26,416",640,"5,283",52.3,20,17,118,0,0,0,0,0,0,0
3/29/2020,835,"27,251",480,"5,763",57.5,21.1,17,135,1306,2739,0,0,544,474,2423
3/30/2020,"1,453","28,704","1,169","6,932",80.5,24.1,15,150,1624,3528,0,0,662,594,2937
3/31/2020,"2,334","31,038","1,223","8,155",52.4,26.3,21,171,1855,3773,0,0,774,642,2745
4/1/2020,"1,906","32,944","1,036","9,191",54.4,32,32,203,1916,3478,0,0,810,617,2772
4/2/2020,"2,323","35,267","1,510","10,701",65,40.8,34,237,2176,3408,0,0,896,582,2720
4/3/2020,"78,420","113,687","1,325","12,026",1.7,10.7,39,276,2285,3227,0,0,1003,583,2910
4/4/2020,"2,876","116,563","1,412","13,438",49.1,11.6,43,319,2383,3183,0,0,1035,559,2951
4/5/2020,"13,130","129,693",898,"14,336",6.8,10.9,24,343,2509,2967,0,0,1085,575,2054
4/6/2020,"13,479","143,172","1,529","15,865",11.3,10.9,31,374,2611,2796,0,0,1108,522,2219
4/7/2020,"11,561","154,733","1,092","16,957",9.4,10.6,68,442,2714,3078,0,0,1154,522,2110
4/8/2020,"8,971","163,704","1,352","18,309",15.1,10.7,50,492,2825,2803,0,0,1132,530,2238
4/9/2020,"8,372","172,076","1,163","19,472",13.9,10.5,49,541,2897,2339,0,0,1145,446,2135
4/10/2020,"10,910","182,986","1,143","20,615",10.5,10.1,68,609,2846,2221,0,0,1145,420,2327
4/11/2020,"7,252","190,238","1,179","21,794",16.3,10.1,42,651,2917,2317,0,0,1145,394,2309
4/12/2020,"9,429","199,667",554,"22,348",5.9,9.6,36,687,3015,2033,0,0,1178,374,2052
4/13/2020,"2,541","202,208",990,"23,338",39,9.5,71,758,3124,2039,0,0,1177,375,2182
4/14/2020,"12,179","214,387","1,086","24,424",8.9,8.9,63,821,3171,1894,0,0,1175,368,2196
4/15/2020,"24,794","239,181","1,758","26,182",7.1,8.2,69,890,3141,1890,0,0,1191,377,2068
4/16/2020,"12,433","251,614","1,346","27,528",10.8,7.8,95,985,3180,1712,0,0,1174,310,2127
4/17/2020,"8,052","259,666","1,435","28,963",17.8,11.6,87,"1,072",3221,1715,0,0,1173,316,2103
4/18/2020,"14,055","273,721","1,370","30,333",9.7,10.8,94,"1,166",3196,1535,0,0,1163,294,2229
4/19/2020,"9,596","283,317",645,"30,978",6.7,10.8,42,"1,208",3257,1417,0,0,1196,284,2212
4/20/2020,"9,589","292,906","2,283","33,261",23.8,11.6,60,"1,268",3365,1521,0,0,1241,261,2185
4/21/2020,"8,641","301,547","2,135","35,396",24.7,12.6,86,"1,354",3357,1627,4984,43661,1219,332,2778
4/22/2020,"180,550","482,097","1,973","37,369",1.1,6,115,"1,469",3343,1586,4901,53258,1204,327,3407
4/23/2020,"12,076","494,173","1,885","39,254",15.6,6.1,93,"1,562",3344,1536,4880,62310,1216,305,3625
4/24/2020,"11,862","506,035","1,883","41,137",15.9,6.4,89,"1,651",3343,1504,4847,62518,1198,260,4042
4/25/2020,"20,049","526,084","1,027","42,164",5.1,6.1,59,"1,710",3324,1604,4928,67131,1184,289,4527
4/26/2020,"27,325","553,409","1,300","43,464",4.8,6,45,"1,755",3372,1506,4878,67105,1185,314,4352
4/27/2020,"24,199","577,608","1,567","45,031",6.5,5.8,54,"1,809",3455,1528,5283,67190,1181,304,4271
4/28/2020,"25,531","603,139","1,469","46,500",5.8,5.7,78,"1,887",3495,1516,5011,67497,1186,326,4024
4/29/2020,"22,198","625,337","2,417","48,917",10.9,5.9,95,"1,982",3497,1484,4981,68797,1192,281,4010
4/30/2020,"29,648","654,985","1,525","50,442",5.1,5.7,91,"2,073",3428,1278,4706,63244,1192,242,4143
5/1/2020,"30,063","685,048","1,755","52,197",5.8,5.5,98,"2,171",3423,1299,4722,63899,1178,255,3941
5/2/2020,"30,703","715,751","1,419","53,616",4.6,5.3,44,"2,215",3318,1416,4734,68946,1169,299,3922
5/3/2020,"32,123","747,874","1,321","54,937",4.1,5.2,39,"2,254",3284,1332,4616,69332,1179,285,3969
5/4/2020,"32,028","779,902","1,275","56,212",4,4.7,63,"2,317",3369,1253,4622,70226,1157,231,4024
5/5/2020,"29,134","809,036","2,603","58,815",8.9,4.6,95,"2,412",3334,1347,4681,74808,1140,275,3893
5/6/2020,"33,838","842,874","1,799","60,614",5.3,6.4,92,"2,504",3319,1241,4560,76381,1125,249,3988
5/7/2020,"32,398","875,272","1,898","62,512",5.9,6.1,81,"2,585",3250,1264,4514,76338,1118,224,3741
5/8/2020,"37,298","912,570","2,049","64,561",5.5,5.8,93,"2,678",3282,1256,4538,78196,1115,234,3665
5/9/2020,"43,094","955,664","2,119","66,680",4.9,5.7,67,"2,745",3218,1337,4555,78174,1097,231,3717
5/10/2020,"36,233","991,897","1,259","67,939",3.5,5.6,25,"2,770",3248,1301,4549,77984,1093,236,3868
5/11/2020,"41,473","1,033,370","1,443","69,382",3.5,5.3,77,"2,847",3284,1260,4544,78116,1078,271,3899
5/12/2020,"32,222","1,065,592","1,759","71,141",5.5,5.3,87,"2,934",3301,1244,4545,78319,1075,239,3833
5/13/2020,"39,059","1,104,651","2,023","73,164",5.2,5.1,98,"3,032",3261,1394,4655,78644,1099,225,3840
5/14/2020,"29,255","1,133,906","1,772","74,936",6.1,5.1,76,"3,108",3157,1362,4519,78776,1067,257,3811
5/15/2020,"45,220","1,179,126","1,857","76,793",4.1,5,96,"3,204",3126,1298,4424,78600,1079,234,3710
5/16/2020,"56,117","1,235,243","2,046","78,839",3.6,4.9,57,"3,261",3025,1266,4291,78507,1069,224,3704
5/17/2020,"57,429","1,292,672","1,591","80,430",2.8,4.7,41,"3,302",3037,1354,4391,78376,1076,249,3846
5/18/2020,"46,644","1,339,316","1,365","81,795",2.9,4.6,32,"3,334",3073,1290,4363,78833,1076,231,3925
5/19/2020,"40,804","1,380,120","2,262","84,057",5.5,4.4,102,"3,436",3047,1634,4681,78812,1068,277,3805
5/20/2020,"41,008","1,421,128","2,140","86,197",5.2,4.4,106,"3,542",3048,1687,4735,78891,1051,259,3811
5/21/2020,"45,645","1,466,773","2,247","88,444",4.9,4.4,88,"3,630",3007,1755,4762,78767,1050,267,3710
5/22/2020,"48,533","1,515,306","2,187","90,631",4.5,4.3,78,"3,708",3024,1318,4342,78825,1079,233,3719
5/23/2020,"67,439","1,582,745","2,079","92,710",3.1,4.2,66,"3,774",2980,1320,4300,78704,1071,244,3767
5/24/2020,"61,357","1,644,102","1,848","94,558",3,4.1,21,"3,795",3015,1291,4306,78609,1062,239,3813
5/25/2020,"52,294","1,696,396","2,175","96,733",4.2,4.1,19,"3,814",3065,1339,4404,78610,1084,308,4232
5/26/2020,"40,498","1,736,894","2,247","98,980",5.5,4.1,70,"3,884",3114,1430,4544,78678,1095,312,4231
5/27/2020,"53,665","1,790,559","2,717","101,697",5.1,4.2,89,"3,973",3091,1438,4529,78851,1092,233,3865
5/28/2020,"44,919","1,835,478","2,189","103,886",4.9,4.1,95,"4,068",3016,1398,4414,78883,1078,250,3742
5/29/2020,"53,117","1,888,595","2,992","106,878",5.6,4.2,88,"4,156",2928,1287,4215,78886,1042,231,3696
5/30/2020,"56,253","1,944,848","3,705","110,583",6.6,4.5,57,"4,213",2940,1391,4331,78651,1067,257,3754
5/31/2020,"67,735","2,012,583","2,423","113,006",3.6,4.5,38,"4,251",2973,1285,4258,78683,1053,220,3860
6/1/2020,"59,008","2,071,591","2,304","115,310",3.9,4.6,35,"4,286",3038,1355,4393,78684,1054,242,4181
6/2/2020,"59,703","2,131,294","2,377","117,687",4,4.5,75,"4,361",3090,1368,4458,78825,1079,234,3676
6/3/2020,"51,377","2,182,671","2,120","119,807",4.1,4.4,61,"4,422",3109,1346,4455,78941,1058,221,3676
6/4/2020,"55,792","2,238,463","3,094","122,901",5.5,4.5,63,"4,485",3142,1483,4625,79087,1083,250,3686
6/5/2020,"69,837","2,308,300","3,115","126,016",4.5,4.5,74,"4,559",3181,1345,4526,78939,1077,238,3719
6/6/2020,"53,918","2,362,218","2,796","128,812",5.2,4.6,67,"4,626",3138,1387,4525,78904,1068,220,3752
6/7/2020,"68,972","2,431,190","2,507","131,319",3.6,4.7,27,"4,653",3184,1322,4506,78156,1079,222,3791
6/8/2020,"55,055","2,486,245","2,170","133,489",3.9,4.7,44,"4,697",3257,1326,4583,78876,1103,242,3926
6/9/2020,"54,553","2,540,798","2,702","136,191",5,4.6,79,"4,776",3240,1479,4719,78777,1090,236,3728
6/10/2020,"56,849","2,597,647","3,090","139,281",5.4,4.7,105,"4,881",3177,1357,4534,78848,1073,252,3741
6/11/2020,"64,611","2,662,258","2,702","141,983",4.2,4.6,62,"4,943",3222,1258,4480,79040,1101,209,3648
6/12/2020,"62,135","2,724,393","3,660","145,643",5.9,4.6,46,"4,989",3191,1220,4411,79023,1109,204,3689
6/13/2020,"77,603","2,801,996","3,212","148,855",4.1,4.5,74,"5,063",3092,1155,4247,78996,1076,204,3730
6/14/2020,"66,186","2,868,182","2,597","151,452",3.9,4.5,26,"5,089",3103,1220,4323,78953,1053,217,3780
6/15/2020,"69,573","2,937,755","2,108","153,560",3,4.4,32,"5,121",3335,1127,4462,78937,1069,203,3928
6/16/2020,"60,233","2,997,988","3,455","157,015",5.7,4.5,87,"5,208",3421,1101,4522,79073,1109,209,3770
6/17/2020,"76,542","3,074,530","4,084","161,099",5.3,4.6,82,"5,290",3439,1145,4584,78530,1119,179,3530
6/18/2020,"81,172","3,155,702","4,317","165,416",5.3,4.6,70,"5,360",3428,1159,4587,79025,1128,201,3879
6/19/2020,"78,710","3,234,412","3,893","169,309",4.9,4.7,64,"5,424",3494,1088,4582,79040,1145,187,3898
6/20/2020,"84,844","3,319,256","4,515","173,824",5.3,4.7,71,"5,495",3574,1105,4679,78923,1163,203,4045
6/21/2020,"92,430","3,411,686","4,230","178,054",4.6,4.8,20,"5,515",3702,1102,4804,78821,1199,213,4120
6/22/2020,"85,243","3,496,929","5,019","183,073",5.9,4.9,65,"5,580",3868,1197,5065,78427,1225,196,4178
6/23/2020,"95,970","3,592,899","7,149","190,222",7.4,5.1,52,"5,632",4095,1304,5399,78941,1268,219,4034
6/24/2020,"101,446","3,694,345","5,349","195,571",5.3,5.1,101,"5,733",4240,1282,5522,78972,1306,217,3790
6/25/2020,"76,969","3,771,314","5,269","200,840",6.8,5.3,79,"5,812",4380,1259,5639,78809,1364,206,3632
6/26/2020,"90,996","3,862,310","6,209","207,049",6.8,5.4,60,"5,872",4494,1296,5790,78951,1379,183,3684
6/27/2020,"93,642","3,955,952","5,120","212,169",5.5,5.5,33,"5,905",4577,1379,5956,78710,1385,217,3621
6/28/2020,"105,740","4,061,692","7,083","219,252",6.7,5.7,31,"5,936",4776,1403,6179,78481,1465,221,3717
6/29/2020,"105,447","4,167,139","9,480","228,732",9,6.1,44,"5,980",5077,1389,6466,78532,1528,223,3730
6/30/2020,"87,037","4,254,176","7,407","236,139",8.5,6.3,110,"6,090",5196,1416,6612,78892,1617,242,3580
7/1/2020,"84,542","4,338,718","6,408","242,547",7.6,6.4,73,"6,163",5355,1457,6812,75548,1676,258,3451
7/2/2020,"109,458","4,448,176","5,688","248,235",5.2,6.4,100,"6,263",5506,1518,7024,78103,1650,221,3497
7/3/2020,"104,855","4,553,031","9,153","257,388",8.7,6.7,50,"6,313",5595,1497,7092,80484,1682,206,3555
7/4/2020,"127,107","4,680,138","8,597","265,985",6.8,6.8,18,"6,331",5669,1480,7149,80259,1711,196,3871
7/5/2020,"113,215","4,793,353","5,699","271,684",5,6.8,6,"6,337",5790,1488,7278,80170,1706,231,3882
7/6/2020,"103,017","4,896,370","6,090","277,774",5.9,6.8,111,"6,448",5989,1510,7499,80846,1740,244,3925
